state,measure_id,change_2016,change_2017,change_2018,change_2019,change_2020,change_2021,change_2022,change_2023
MA,H_COMP_2,2.0,0.0,0.0,-2.0,0.0,0.0,-1.0,-2.0
MA,H_COMP_3,0.0,2.0,-1.0,-1.0,1.0,0.0,-5.0,-6.0
MA,H_COMP_5,0.0,1.0,-1.0,0.0,0.0,0.0,-4.0,-5.0
MA,H_COMP_6,2.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0
MA,H_COMP_7,0.0,1.0,0.0,-2.0,1.0,0.0,-3.0,-2.0
MA,H_HSP_RATING,0.0,3.0,-1.0,0.0,0.0,1.0,-3.0,-5.0
MA,H_QUIET_HSP,2.0,-1.0,0.0,-2.0,1.0,0.0,-1.0,-3.0
MA,H_RECMND,-1.0,1.0,-1.0,-1.0,0.0,0.0,-2.0,-4.0
MD,H_CLEAN_HSP,0.5,0.5,3.0,1.0,2.0,0.0,-6.0,0.0
MD,H_COMP_1,0.0,0.0,0.0,-1.0,0.0,1.0,-2.0,-1.0
MD,H_COMP_2,-0.5,-0.5,0.0,-2.0,2.0,-1.0,-2.0,0.0
MD,H_COMP_3,0.0,0.0,1.0,-2.0,3.0,-1.0,-7.0,-1.0
MD,H_COMP_5,0.0,0.0,0.0,2.0,0.0,0.0,-7.0,-2.0
MD,H_COMP_6,0.0,0.0,2.0,-2.0,0.0,0.0,0.0,-4.0
MD,H_COMP_7,0.0,0.0,2.0,-1.0,1.0,0.0,-3.0,-1.0
MD,H_HSP_RATING,0.0,0.0,3.0,-4.0,2.0,0.0,-2.0,-2.0
MD,H_QUIET_HSP,0.5,0.5,-2.0,-2.0,2.0,0.0,0.0,-1.0
MD,H_RECMND,-1.5,-1.5,2.0,-3.0,2.0,0.0,-2.0,-3.0
ME,H_CLEAN_HSP,-1.0,0.0,-1.0,0.0,-1.0,0.0,-4.0,-9.0
ME,H_COMP_1,0.0,0.0,0.0,1.0,1.0,1.0,-2.0,-3.0
ME,H_COMP_2,-1.0,1.0,-1.0,0.0,1.0,0.0,-1.0,-2.0
ME,H_COMP_3,-1.0,1.0,0.0,1.0,0.0,0.0,-4.0,-3.0
ME,H_COMP_5,-1.0,2.0,0.0,-1.0,1.0,-1.0,-4.0,-4.0
ME,H_COMP_6,0.0,2.0,-2.0,0.0,0.0,0.0,0.0,-4.0
ME,H_COMP_7,-1.0,0.0,-1.0,0.0,0.0,1.0,-1.0,-5.0
ME,H_HSP_RATING,1.0,-1.0,1.0,0.0,-1.0,0.0,0.0,-5.0
ME,H_QUIET_HSP,-1.0,1.0,0.0,0.0,0.0,0.0,-3.0,-1.0
ME,H_RECMND,0.0,1.0,-1.0,-1.0,1.0,-1.0,0.0,-5.0
MI,H_CLEAN_HSP,1.0,0.0,2.0,0.0,0.0,0.0,-6.0,-4.0
MI,H_COMP_1,2.0,0.0,1.0,-1.0,0.0,0.0,0.0,-3.0
MI,H_COMP_2,0.0,0.0,0.0,-2.0,1.0,-1.0,0.0,-2.0
MI,H_COMP_3,1.0,0.0,3.0,-1.0,0.0,0.0,-4.0,-4.0
