release_period,state,measure_id,bottom-box_percentage,middle-box_percentage,top-box_percentage,state_name,region,nps
2017,DC,H_RECMND,10.0,30.0,60.0,District of Columbia,South Atlantic,50.0
2017,DE,H_RECMND,5.0,25.0,70.0,Delaware,South Atlantic,65.0
2017,FL,H_RECMND,7.0,24.0,69.0,Florida,South Atlantic,62.0
2017,GA,H_RECMND,6.0,23.0,71.0,Georgia,South Atlantic,65.0
2017,HI,H_RECMND,4.0,22.0,74.0,Hawaii,Pacific,70.0
2017,IA,H_RECMND,3.0,21.0,76.0,Iowa,West North Central,73.0
2017,ID,H_RECMND,3.0,22.0,75.0,Idaho,Mountain,72.0
2017,IL,H_RECMND,5.0,24.0,71.0,Illinois,East North Central,66.0
2017,IN,H_RECMND,4.0,22.0,74.0,Indiana,East North Central,70.0
2017,KS,H_RECMND,2.0,21.0,77.0,Kansas,West North Central,75.0
2017,KY,H_RECMND,4.0,24.0,72.0,Kentucky,East South Central,68.0
2017,LA,H_RECMND,4.0,20.0,76.0,Louisiana,West South Central,72.0
2017,MA,H_RECMND,4.0,22.0,74.0,Massachusetts,New England,70.0
2017,MD,H_RECMND,7.0,28.0,65.0,Maryland,South Atlantic,58.0
2017,ME,H_RECMND,3.0,21.0,76.0,Maine,New England,73.0
2017,MI,H_RECMND,4.0,24.0,72.0,Michigan,East North Central,68.0
2017,MN,H_RECMND,3.0,21.0,76.0,Minnesota,West North Central,73.0
2017,MO,H_RECMND,5.0,25.0,70.0,Missouri,West North Central,65.0
2017,MS,H_RECMND,5.0,25.0,70.0,Mississippi,East South Central,65.0
2017,MT,H_RECMND,5.0,23.0,72.0,Montana,Mountain,67.0
2017,NC,H_RECMND,5.0,24.0,71.0,North Carolina,South Atlantic,66.0
2017,ND,H_RECMND,2.0,25.0,73.0,North Dakota,West North Central,71.0
2017,NE,H_RECMND,2.0,19.0,79.0,Nebraska,West North Central,77.0
2017,NH,H_RECMND,4.0,21.0,75.0,New Hampshire,New England,71.0
2017,NJ,H_RECMND,7.0,27.0,66.0,New Jersey,Mid-Atlantic,59.0
2017,NM,H_RECMND,6.0,28.0,66.0,New Mexico,Mountain,60.0
2017,NV,H_RECMND,8.0,26.0,66.0,Nevada,Mountain,58.0
2017,NY,H_RECMND,6.0,28.0,66.0,New York,Mid-Atlantic,60.0
2017,OH,H_RECMND,4.0,24.0,72.0,Ohio,East North Central,68.0
2017,OK,H_RECMND,5.0,22.0,73.0,Oklahoma,West South Central,68.0
2017,OR,H_RECMND,4.0,23.0,73.0,Oregon,Pacific,69.0
2017,PA,H_RECMND,5.0,25.0,70.0,Pennsylvania,Mid-Atlantic,65.0
2017,RI,H_RECMND,5.0,22.0,73.0,Rhode Island,New England,68.0
2017,SC,H_RECMND,6.0,23.0,71.0,South Carolina,South Atlantic,65.0
2017,SD,H_RECMND,2.0,19.0,79.0,South Dakota,West North Central,77.0
2017,TN,H_RECMND,6.0,23.0,71.0,Tennessee,East South Central,65.0
2017,TX,H_RECMND,5.0,21.0,74.0,Texas,West South Central,69.0
2017,UT,H_RECMND,3.0,20.0,77.0,Utah,Mountain,74.0
2017,VA,H_RECMND,5.0,25.0,70.0,Virginia,South Atlantic,65.0
2017,VT,H_RECMND,3.0,23.0,74.0,Vermont,New England,71.0
2017,WA,H_RECMND,5.0,22.0,73.0,Washington,Pacific,68.0
2017,WI,H_RECMND,3.0,21.0,76.0,Wisconsin,East North Central,73.0
2017,WV,H_RECMND,5.0,26.0,69.0,West Virginia,South Atlantic,64.0
2017,WY,H_RECMND,4.0,29.0,67.0,Wyoming,Mountain,63.0
2018,AK,H_RECMND,3.0,23.0,74.0,Alaska,Pacific,71.0
2018,AL,H_RECMND,5.0,24.0,71.0,Alabama,East South Central,66.0
